method,size,range,distribution,ordered,time
quickSort,9000000,10000,bimodal,True,20.105635404586792
mergeSort,9000000,10000,bimodal,True,25.174951553344727
binarySort,9000000,10000,bimodal,True,6.587239980697632
quickSort,10000000,10000,bimodal,True,22.603845596313477
mergeSort,10000000,10000,bimodal,True,28.238240957260132
binarySort,10000000,10000,bimodal,True,7.2122437953948975
quickSort,1000000,50000,bimodal,True,1.822605848312378
mergeSort,1000000,50000,bimodal,True,2.133432626724243
binarySort,1000000,50000,bimodal,True,0.8156492710113525
quickSort,2000000,50000,bimodal,True,4.221715450286865
mergeSort,2000000,50000,bimodal,True,4.727828741073608
binarySort,2000000,50000,bimodal,True,1.5609259605407715
quickSort,3000000,50000,bimodal,True,6.895934343338013
mergeSort,3000000,50000,bimodal,True,7.477142572402954
binarySort,3000000,50000,bimodal,True,2.3095738887786865
quickSort,4000000,50000,bimodal,True,9.512212038040161
mergeSort,4000000,50000,bimodal,True,10.106625080108643
binarySort,4000000,50000,bimodal,True,3.1518125534057617
quickSort,5000000,50000,bimodal,True,12.228979587554932
mergeSort,5000000,50000,bimodal,True,13.115662574768066
binarySort,5000000,50000,bimodal,True,3.941469192504883
quickSort,6000000,50000,bimodal,True,15.01035451889038
mergeSort,6000000,50000,bimodal,True,16.279532432556152
binarySort,6000000,50000,bimodal,True,4.835809230804443
quickSort,7000000,50000,bimodal,True,17.467002868652344
mergeSort,7000000,50000,bimodal,True,19.1785991191864
binarySort,7000000,50000,bimodal,True,5.737452030181885
quickSort,8000000,50000,bimodal,True,20.13039231300354
mergeSort,8000000,50000,bimodal,True,21.98112940788269
binarySort,8000000,50000,bimodal,True,6.373206615447998
quickSort,9000000,50000,bimodal,True,24.13226056098938
mergeSort,9000000,50000,bimodal,True,25.31261372566223
binarySort,9000000,50000,bimodal,True,7.381107807159424
quickSort,10000000,50000,bimodal,True,25.79000496864319
mergeSort,10000000,50000,bimodal,True,28.48710584640503
binarySort,10000000,50000,bimodal,True,8.151571035385132
quickSort,1000000,100000,bimodal,True,1.8640494346618652
mergeSort,1000000,100000,bimodal,True,2.149172306060791
binarySort,1000000,100000,bimodal,True,0.9038264751434326
quickSort,2000000,100000,bimodal,True,4.312170028686523
mergeSort,2000000,100000,bimodal,True,4.711444854736328
binarySort,2000000,100000,bimodal,True,1.6288995742797852
quickSort,3000000,100000,bimodal,True,7.058995246887207
mergeSort,3000000,100000,bimodal,True,7.379242420196533
binarySort,3000000,100000,bimodal,True,2.4206485748291016
quickSort,4000000,100000,bimodal,True,9.821033239364624
mergeSort,4000000,100000,bimodal,True,10.166457176208496
binarySort,4000000,100000,bimodal,True,3.437701463699341
quickSort,5000000,100000,bimodal,True,12.754830360412598
mergeSort,5000000,100000,bimodal,True,13.20266342163086
binarySort,5000000,100000,bimodal,True,4.2606706619262695
quickSort,6000000,100000,bimodal,True,15.448415040969849
mergeSort,6000000,100000,bimodal,True,16.084809064865112
binarySort,6000000,100000,bimodal,True,5.121258735656738
quickSort,7000000,100000,bimodal,True,18.55771493911743
mergeSort,7000000,100000,bimodal,True,19.09892201423645
binarySort,7000000,100000,bimodal,True,5.925234794616699
quickSort,8000000,100000,bimodal,True,22.586560249328613
mergeSort,8000000,100000,bimodal,True,22.129079818725586
binarySort,8000000,100000,bimodal,True,6.855085134506226
quickSort,9000000,100000,bimodal,True,24.831974267959595
mergeSort,9000000,100000,bimodal,True,25.424204111099243
binarySort,9000000,100000,bimodal,True,7.839879751205444
quickSort,10000000,100000,bimodal,True,27.296570301055908
mergeSort,10000000,100000,bimodal,True,28.744417190551758
binarySort,10000000,100000,bimodal,True,8.652400255203247
quickSort,1000000,200000,bimodal,True,1.8681528568267822
mergeSort,1000000,200000,bimodal,True,2.16745924949646
binarySort,1000000,200000,bimodal,True,0.93023681640625
quickSort,2000000,200000,bimodal,True,4.462884902954102
mergeSort,2000000,200000,bimodal,True,4.732659816741943
binarySort,2000000,200000,bimodal,True,1.732745885848999
quickSort,3000000,200000,bimodal,True,7.488215446472168
mergeSort,3000000,200000,bimodal,True,7.644180536270142
