method,size,range,distribution,ordered,time
quickSort,5000000,30000,normal,True,21.29906153678894
mergeSort,5000000,30000,normal,True,25.814640998840332
quickSort,6000000,30000,normal,True,26.62175989151001
binarySort,6000000,30000,normal,True,15.334204912185669
mergeSort,6000000,30000,normal,True,32.05007529258728
binarySort,7000000,30000,normal,True,18.261761903762817
quickSort,7000000,30000,normal,True,32.506587266922
mergeSort,7000000,30000,normal,True,38.036346197128296
binarySort,8000000,30000,normal,True,21.10747528076172
quickSort,8000000,30000,normal,True,36.966670513153076
mergeSort,8000000,30000,normal,True,43.4064416885376
binarySort,9000000,30000,normal,True,24.123061895370483
quickSort,9000000,30000,normal,True,42.68221092224121
mergeSort,9000000,30000,normal,True,49.4978232383728
binarySort,10000000,30000,normal,True,26.683417320251465
quickSort,10000000,30000,normal,True,47.71273612976074
mergeSort,10000000,30000,normal,True,55.363250732421875
binarySort,11000000,30000,normal,True,30.08220624923706
quickSort,11000000,30000,normal,True,54.34868407249451
mergeSort,11000000,30000,normal,True,60.8180034160614
binarySort,12000000,30000,normal,True,32.713685274124146
quickSort,12000000,30000,normal,True,58.31396007537842
mergeSort,12000000,30000,normal,True,67.66373658180237
binarySort,13000000,30000,normal,True,35.89336013793945
quickSort,1000000,40000,normal,True,3.845372200012207
mergeSort,1000000,40000,normal,True,4.235486268997192
binarySort,1000000,40000,normal,True,2.175013303756714
quickSort,13000000,30000,normal,True,65.57276940345764
quickSort,2000000,40000,normal,True,7.6173601150512695
mergeSort,2000000,40000,normal,True,9.426433086395264
binarySort,2000000,40000,normal,True,4.744978666305542
mergeSort,13000000,30000,normal,True,74.28207015991211
binarySort,3000000,40000,normal,True,7.543332815170288
quickSort,3000000,40000,normal,True,11.748560190200806
binarySort,14000000,30000,normal,True,39.36465930938721
mergeSort,3000000,40000,normal,True,14.846707820892334
quickSort,14000000,30000,normal,True,68.02651762962341
binarySort,4000000,40000,normal,True,10.100419044494629
quickSort,4000000,40000,normal,True,16.55318570137024
mergeSort,4000000,40000,normal,True,20.191844940185547
mergeSort,14000000,30000,normal,True,79.7781445980072
quickSort,5000000,40000,normal,True,21.353152990341187
binarySort,5000000,40000,normal,True,12.839899063110352
mergeSort,5000000,40000,normal,True,25.992069482803345
binarySort,6000000,40000,normal,True,15.66399335861206
quickSort,6000000,40000,normal,True,27.084879875183105
mergeSort,6000000,40000,normal,True,31.088874578475952
binarySort,7000000,40000,normal,True,19.096110582351685
quickSort,7000000,40000,normal,True,30.448137044906616
mergeSort,7000000,40000,normal,True,37.37172174453735
binarySort,8000000,40000,normal,True,21.44584321975708
quickSort,8000000,40000,normal,True,37.98468327522278
mergeSort,8000000,40000,normal,True,43.08096170425415
binarySort,9000000,40000,normal,True,24.92737102508545
quickSort,9000000,40000,normal,True,41.963059425354004
mergeSort,9000000,40000,normal,True,49.052571296691895
binarySort,10000000,40000,normal,True,28.115771770477295
quickSort,10000000,40000,normal,True,47.800883054733276
mergeSort,10000000,40000,normal,True,54.876899003982544
binarySort,11000000,40000,normal,True,31.147021055221558
quickSort,11000000,40000,normal,True,54.88047790527344
mergeSort,11000000,40000,normal,True,61.35411286354065
binarySort,12000000,40000,normal,True,34.263797760009766
quickSort,12000000,40000,normal,True,59.10620331764221
mergeSort,12000000,40000,normal,True,67.51660895347595
binarySort,13000000,40000,normal,True,37.56419563293457
quickSort,1000000,50000,normal,True,3.4991893768310547
mergeSort,1000000,50000,normal,True,4.3672637939453125
quickSort,13000000,40000,normal,True,68.40071439743042
binarySort,1000000,50000,normal,True,2.2294352054595947
quickSort,2000000,50000,normal,True,7.32736349105835
mergeSort,2000000,50000,normal,True,8.947846412658691
binarySort,2000000,50000,normal,True,4.7856526374816895
mergeSort,13000000,40000,normal,True,73.99513554573059
binarySort,3000000,50000,normal,True,7.454299211502075
quickSort,3000000,50000,normal,True,12.27992582321167
binarySort,14000000,40000,normal,True,41.33821177482605
mergeSort,3000000,50000,normal,True,14.234308242797852
quickSort,14000000,40000,normal,True,71.40594840049744
binarySort,4000000,50000,normal,True,10.136355638504028
quickSort,4000000,50000,normal,True,16.61538791656494
mergeSort,4000000,50000,normal,True,19.781743049621582
mergeSort,14000000,40000,normal,True,80.59045743942261
quickSort,5000000,50000,normal,True,22.90169644355774
binarySort,5000000,50000,normal,True,12.996350526809692
mergeSort,5000000,50000,normal,True,25.944218635559082
quickSort,6000000,50000,normal,True,26.436259031295776
binarySort,6000000,50000,normal,True,16.040287733078003
mergeSort,6000000,50000,normal,True,32.10870099067688
binarySort,7000000,50000,normal,True,18.767481088638306
quickSort,7000000,50000,normal,True,33.18594479560852
mergeSort,7000000,50000,normal,True,38.71262240409851
binarySort,8000000,50000,normal,True,21.435933351516724
quickSort,8000000,50000,normal,True,39.73107600212097
mergeSort,8000000,50000,normal,True,43.736180782318115
binarySort,9000000,50000,normal,True,25.617430686950684
quickSort,9000000,50000,normal,True,44.202149868011475
mergeSort,9000000,50000,normal,True,48.98725152015686
binarySort,10000000,50000,normal,True,28.045024871826172
quickSort,10000000,50000,normal,True,50.32438802719116
mergeSort,10000000,50000,normal,True,56.05534052848816
binarySort,11000000,50000,normal,True,31.209825038909912
quickSort,11000000,50000,normal,True,55.16312074661255
mergeSort,11000000,50000,normal,True,61.47808575630188
binarySort,12000000,50000,normal,True,34.303236961364746
quickSort,12000000,50000,normal,True,60.67603087425232
mergeSort,12000000,50000,normal,True,67.05531454086304
binarySort,13000000,50000,normal,True,37.461363792419434
quickSort,1000000,10000,bimodal,True,3.2535455226898193
quickSort,13000000,50000,normal,True,65.20085835456848
mergeSort,1000000,10000,bimodal,True,4.462606430053711
binarySort,1000000,10000,bimodal,True,1.885559320449829
quickSort,2000000,10000,bimodal,True,6.827594518661499
mergeSort,2000000,10000,bimodal,True,9.4319486618042
binarySort,2000000,10000,bimodal,True,4.163397789001465
mergeSort,13000000,50000,normal,True,74.33215069770813
binarySort,3000000,10000,bimodal,True,6.836181163787842
quickSort,3000000,10000,bimodal,True,10.973689794540405
binarySort,14000000,50000,normal,True,41.267136096954346
mergeSort,3000000,10000,bimodal,True,14.600499153137207
binarySort,4000000,10000,bimodal,True,9.546886682510376
quickSort,14000000,50000,normal,True,71.86303663253784
quickSort,4000000,10000,bimodal,True,15.085112810134888
mergeSort,4000000,10000,bimodal,True,20.40838623046875
quickSort,5000000,10000,bimodal,True,20.431984186172485
mergeSort,14000000,50000,normal,True,81.0405387878418
binarySort,5000000,10000,bimodal,True,11.715314149856567
quickSort,6000000,10000,bimodal,True,24.043845653533936
mergeSort,5000000,10000,bimodal,True,26.62377953529358
binarySort,6000000,10000,bimodal,True,14.613892555236816
mergeSort,6000000,10000,bimodal,True,32.11206269264221
quickSort,7000000,10000,bimodal,True,27.867911100387573
binarySort,7000000,10000,bimodal,True,17.354670763015747
