method,size,range,distribution,ordered,time
quickSort,8000000,50000,bimodal,True,29.199063539505005
binarySort,8000000,50000,bimodal,True,19.721380949020386
mergeSort,8000000,50000,bimodal,True,35.353168964385986
binarySort,9000000,50000,bimodal,True,22.93437361717224
quickSort,9000000,50000,bimodal,True,35.18516993522644
mergeSort,9000000,50000,bimodal,True,40.86639213562012
quickSort,1000000,10000,zeros,True,0.7232306003570557
mergeSort,1000000,10000,zeros,True,3.2308225631713867
binarySort,1000000,10000,zeros,True,1.300138235092163
quickSort,2000000,10000,zeros,True,1.4122910499572754
binarySort,10000000,50000,bimodal,True,25.078195333480835
quickSort,10000000,50000,bimodal,True,37.98544764518738
mergeSort,2000000,10000,zeros,True,6.974970102310181
binarySort,2000000,10000,zeros,True,2.70070743560791
quickSort,3000000,10000,zeros,True,2.3213300704956055
binarySort,3000000,10000,zeros,True,3.972439765930176
quickSort,4000000,10000,zeros,True,3.279740333557129
mergeSort,3000000,10000,zeros,True,11.372021436691284
binarySort,4000000,10000,zeros,True,5.462795734405518
quickSort,5000000,10000,zeros,True,4.304796457290649
mergeSort,10000000,50000,bimodal,True,46.11066269874573
mergeSort,4000000,10000,zeros,True,14.991090297698975
binarySort,5000000,10000,zeros,True,6.988968133926392
quickSort,6000000,10000,zeros,True,5.361331224441528
mergeSort,5000000,10000,zeros,True,18.791175842285156
quickSort,7000000,10000,zeros,True,6.336315393447876
binarySort,6000000,10000,zeros,True,8.362413883209229
quickSort,8000000,10000,zeros,True,7.796692609786987
binarySort,7000000,10000,zeros,True,10.301468849182129
mergeSort,6000000,10000,zeros,True,23.62736701965332
quickSort,9000000,10000,zeros,True,8.575525283813477
binarySort,8000000,10000,zeros,True,11.45832896232605
mergeSort,7000000,10000,zeros,True,28.03246021270752
binarySort,9000000,10000,zeros,True,13.415010690689087
quickSort,10000000,10000,zeros,True,9.558911085128784
mergeSort,8000000,10000,zeros,True,32.88264322280884
quickSort,1000000,20000,zeros,True,0.7864217758178711
mergeSort,1000000,20000,zeros,True,3.5897891521453857
binarySort,1000000,20000,zeros,True,1.453012466430664
quickSort,2000000,20000,zeros,True,1.5636756420135498
binarySort,10000000,10000,zeros,True,14.68563461303711
binarySort,2000000,20000,zeros,True,2.665846109390259
mergeSort,2000000,20000,zeros,True,7.1730406284332275
mergeSort,9000000,10000,zeros,True,37.4270498752594
quickSort,3000000,20000,zeros,True,2.669189214706421
quickSort,4000000,20000,zeros,True,3.3697097301483154
binarySort,3000000,20000,zeros,True,4.189045429229736
mergeSort,3000000,20000,zeros,True,11.225822687149048
binarySort,4000000,20000,zeros,True,5.773426532745361
quickSort,5000000,20000,zeros,True,4.44144868850708
mergeSort,4000000,20000,zeros,True,14.963912010192871
mergeSort,10000000,10000,zeros,True,41.33259129524231
binarySort,5000000,20000,zeros,True,7.308918476104736
quickSort,6000000,20000,zeros,True,5.326115846633911
mergeSort,5000000,20000,zeros,True,19.064318656921387
binarySort,6000000,20000,zeros,True,8.814634323120117
quickSort,7000000,20000,zeros,True,6.775676250457764
quickSort,8000000,20000,zeros,True,7.909153461456299
mergeSort,6000000,20000,zeros,True,22.970360040664673
binarySort,7000000,20000,zeros,True,10.536533832550049
quickSort,9000000,20000,zeros,True,9.708287000656128
binarySort,8000000,20000,zeros,True,12.160804033279419
mergeSort,7000000,20000,zeros,True,27.265737295150757
quickSort,10000000,20000,zeros,True,10.73550796508789
binarySort,9000000,20000,zeros,True,13.756447553634644
mergeSort,8000000,20000,zeros,True,31.319061994552612
quickSort,1000000,30000,zeros,True,0.9284284114837646
